Address,Host Organization,Notes,Title,Event Type,Event Group,More Info Url,All Dates,Next Date times,Next Date,longitude,latitude,location
800 Macleod Trail SE,,,SPC on Utilities and Corporate Services,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953421,Mar 20 2019 9:30 a.m. - 12:30 p.m.<br>Apr 17 2019 9:30 a.m. - 12:30 p.m.<br>May 15 2019 9:30 a.m. - 12:30 p.m.<br>Jun 19 2019 9:30 a.m. - 12:30 p.m.<br>Jul 17 2019 9:30 a.m. - 12:30 p.m.,March 20 2019 9:30 a.m. - 12:30 p.m.,2019/03/20,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,City of Calgary,"<p>Join us for our 32nd Annual Exhibition of Children’s Art from North Mount Pleasant and Wildflower Arts Centres. Celebrate the sculpture, painting, drawing and mixed media artworks created by young artists, aged 3-17. Everyone welcome! Exhibit runs from May 2 - May 16, 2019. Details at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Arts-centres/Home.aspx"">Calgary.ca/artscentres</a><br /><strong>All Ages</strong></p>",Children’s Art Exhibition,"Admission specials,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/artscentres/,May 3 2019 6 a.m. - 6 p.m.<br>May 6 2019 6 a.m. - 6 p.m.<br>May 7 2019 6 a.m. - 6 p.m.<br>May 8 2019 6 a.m. - 6 p.m.<br>May 9 2019 6 a.m. - 6 p.m.<br>May 10 2019 6 a.m. - 6 p.m.<br>May 13 2019 6 a.m. - 6 p.m.<br>May 14 2019 6 a.m. - 6 p.m.<br>May 15 2019 6 a.m. - 6 p.m.<br>May 16 2019 6 a.m. - 6 p.m.,May 3 2019 6 a.m. - 6 p.m.,2019/05/03,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Combined Council Meeting,City Council,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953389,Mar 18 2019 9:30 a.m. - 12:30 p.m.<br>Apr 8 2019 9:30 a.m. - 12:30 p.m.<br>Apr 29 2019 9:30 a.m. - 12:30 p.m.<br>May 27 2019 9:30 a.m. - 12:30 p.m.<br>Jun 17 2019 9:30 a.m. - 12:30 p.m.<br>Jul 22 2019 9:30 a.m. - 12:30 p.m.<br>Jul 29 2019 9:30 a.m. - 12:30 p.m.,March 18 2019 9:30 a.m. - 12:30 p.m.,2019/03/18,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
222 8 Avenue SE,Calgary Folk Arts Council,"The Heritage Day Festival is the only free multicultural festival in Calgary that brings together such a diversity of performers from around the globe. Every year we find new groups to perform and help them become more involved in Calgary's multicultural community. Because we pay out honorariums for performances and do not charge admission fees, we provide a large amount of exposure to groups, as well as the funds to invest in their own organizations.",Heritage Day Festival,Festivals / major events,Event,http://folkartsyyc.org,Aug 5 2019 12 - 6 p.m.,August 5 2019 12 - 6 p.m.,2019/08/05,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
1221 2 Street SW,The Market Shop Local,An array of food trucks serving up local street foods with live music and a mini artisan market serving up the Calgary locals in Calgary's Belt line and area. A night of fun within the community.,Food Truck Nights,Community event,Event,http://www.marketshoplocal.com,Jun 28 2019 4 - 10:30 p.m.<br>Jul 19 2019 4 - 10:30 p.m.<br>Aug 16 2019 4 - 10:30 p.m.,June 28 2019 4 - 10:30 p.m.,2019/06/28,-114.070132000346,51.0411760000142,"(51.0411760000142, -114.070132000346)"
1001 Barlow Trail SE,Live Nation Canada Inc.,Western Canada's largest electronic music and arts festival,Chasing Summer Music Festival,Festivals / major events,Event,http://www.chasingsummerfestival.com,Aug 3 2019 1 - 11 p.m.<br>Aug 4 2019 1 - 11 p.m.,August 3 2019 1 - 11 p.m.,2019/08/03,-114.004248999555,51.0420740001249,"(51.0420740001249, -114.004248999555)"
800 Macleod Trail SE,,,SPC on Transportation and Transit,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953422,Mar 20 2019 1 - 4 p.m.<br>Apr 24 2019 9:30 a.m. - 12:30 p.m.<br>May 22 2019 9:30 a.m. - 12:30 p.m.<br>Jun 26 2019 9:30 a.m. - 12:30 p.m.<br>Jul 24 2019 9:30 a.m. - 12:30 p.m.,March 20 2019 1 - 4 p.m.,2019/03/20,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Audit Committee,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953618,Mar 22 2019 9:30 a.m. - 12:30 p.m.<br>Apr 23 2019 9:30 a.m. - 12:30 p.m.<br>Jun 27 2019 9:30 a.m. - 12:30 p.m.<br>Jul 19 2019 9:30 a.m. - 12:30 p.m.,March 22 2019 9:30 a.m. - 12:30 p.m.,2019/03/22,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
1600 32 Avenue NE,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  McCall 18 (9 holes only)  <em>Advanced Level</em><br /><p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Aug 7 2019 5:30 - 7:30 p.m.<br>Aug 14 2019 5:30 - 7:30 p.m.,August 7 2019 5:30 - 7:30 p.m.,2019/08/07,-114.01504500025,51.0830809998059,"(51.0830809998059, -114.01504500025)"
1220 9 Avenue SW,Caribbean Community Council of Calgary,The primary mandate of the CCC is to showcase Caribbean arts and culture within the Calgary context. To advocate and promote the unique Caribbean culture for the benefit of the Calgary arts Community. The Council was incorporated under the Alberta Societies Act in 1981 and has grown to be the largest Caribbean festival in Western Canada.,Carifest 2019,Festivals / major events,Event,http://carifest.ca/,Aug 16 2019 3 - 8 p.m.<br>Aug 17 2019 3 - 8 p.m.,August 16 2019 3 - 8 p.m.,2019/08/16,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
330 42 Avenue SW,Calgary Tour de Nuit Society,"This urban bike ride draws together the various elements of the cycling community: race, recreation commuter, bmx, road and mountain. This is a unique event the public can join to cycle on roads that are inaccessible because of traffic. Our goal is to promote cycling, road safety and the professional bicycle racing. The spoke rides start in mid-morning bringing participants from north and south to a park rendezvous. The main Hub Ride is a slower paced ride departing at approximately noon, which children are encouraged to cycle. The smallest children have a shorter children's ride along the Elbow River Pathway. The event highlights the benefits of cycling and an active lifestyle.",Ride the Road Tour,Athletic / sport,Event,http://www.morepeoplecycling.ca,Aug 25 2019 10 a.m. - 3 p.m.,August 25 2019 10 a.m. - 3 p.m.,2019/08/25,-114.070022999668,51.015646999899,"(51.015646999899, -114.070022999668)"
222 8 Avenue SE,ICNA Calgary,"The purpose of the event is to make familiar the Muslim Culture among fellow Canadian and to minimize the gap among communities of different cultures. There will be ethnic food, cultural and historic display, free henna tattoos for girls and women, free face painting for kids, free jumping castle, information booths, art and merchandise vendors.",Muslim Heritage Day,Community event,Event,https://www.facebook.com/MHDCalgary/,Aug 24 2019 11 a.m. - 6 p.m.,August 24 2019 11 a.m. - 6 p.m.,2019/08/24,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
223 Castleridge Boulevard NE,Alberta Des Punjab Times,"A celebration of Sikh Culture featuring live concert, honoring citizens etc. Please note, no alcohol will be served at this event.",Alberta Des Punjab Times,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131379054,Aug 3 2019 11 a.m. - 9 p.m.<br>Aug 4 2019 11 a.m. - 9 p.m.<br>Aug 5 2019 11 a.m. - 9 p.m.,August 3 2019 11 a.m. - 9 p.m.,2019/08/03,-113.97052899982,51.1042638998331,"(51.1042638998331, -113.97052899982)"
4500 14A Street SW,Concorde Group Entertainment,"Concorde Group hosts Annual PAWS in the PARK fundraising event for Alberta Animal Rescue Crew Society - AARCS! Rain or Shine an afternoon of FUN, FUR, FUNDRAISING! - Food Vendors, Pet Vendors, Pet Vendor Market, Photo Booth, Bounce House, and many more activities.",Paws in the Park 2019,Community event,Event,http://www.concordegroup.ca,Aug 18 2019 11 a.m. - 3 p.m.,August 18 2019 11 a.m. - 3 p.m.,2019/08/18,-114.094374000383,51.0172057002221,"(51.0172057002221, -114.094374000383)"
222 8 Avenue SE,Ploughshares Calgary Society,"This is an annual summer family event in memory of all those impacted by the atomic bombs of Hiroshima and Nagasaki, and in solidarity toward a peaceful world free from nuclear weapons. With the launching of floating lanterns on the pool, symbols of peace and hope, and singing, drumming, a children's drama, and speeches, Calgarians are inspired to help build a more united, peaceful and safe world, free from nuclear weapons. This initiative models and promotes the principles involved in human rights, as a critical basis for building a peaceful global community. The organizing committee, invited speakers and performers, all from diverse ethnic and faith communities, are evidence of this. This event helps people, children and youth alike, to become aware of and empowered by the core values of human rights: mutual respect and cooperation.",Floating Lantern Peace Ceremony 2019,Community event,Event,http://ploughsharescalgary.ca/,Aug 3 2019 8 - 9:30 p.m.,August 3 2019 8 - 9:30 p.m.,2019/08/03,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
1515 Home Road NW,Calgary Minor Football,This jamboree is held to raise money for Ronald McDonald House. There will be multiple football games happening throughout the day between teams from the Calgary PeeWee and Bantam Football Leagues. There will be tents set up to serve food and to hold a Silent Auction.,Calgary Minor Football Jamboree,Athletic / sport,Event,https://www.trumba.com/calendars/map-feeds?eventid=131393782,Aug 17 2019 9 a.m. - 4 p.m.,August 17 2019 9 a.m. - 4 p.m.,2019/08/17,-114.16825700004,51.0734629998216,"(51.0734629998216, -114.16825700004)"
2539 33 Avenue SW,City of Calgary,"<p>New to Golf? Feeling a little intimidated? Come out for our very popular Beginner Nights and golf in a fun, relaxed atmosphere with others of the same ability. Green fees include: 9 holes, giveaways, game and etiquette tips and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>.</p> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Beginner Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jun 17 2019 5 - 8:30 p.m.<br>Jul 8 2019 5 - 8:30 p.m.<br>Jul 22 2019 5 - 8:30 p.m.<br>Aug 12 2019 5 - 8:30 p.m.<br>Aug 26 2019 5 - 8:30 p.m.,June 17 2019 5 - 8:30 p.m.,2019/06/17,-114.121573999938,51.0230909998152,"(51.0230909998152, -114.121573999938)"
2424 University Drive NW,Calgary United Soccer Association,"Nations Cup provides a unique opportunity for players to participate in a Calgary version of the World Cup by forming teams based on their ethnic backgrounds and countries of origin, creating an exciting atmosphere that provides a stage for people throughout the community to express pride in their heritage. It is an opportunity to recognize the cultural diversity that exists locally within the sport of soccer.",Calgary's Nations Cup 2019,Athletic / sport,Event,https://www.trumba.com/calendars/map-feeds?eventid=131335998,Aug 2 2019 6 - 9:30 p.m.<br>Aug 3 2019 6 - 9:30 p.m.<br>Aug 4 2019 6 - 9:30 p.m.,August 2 2019 6 - 9:30 p.m.,2019/08/02,-114.124130999597,51.0712089998171,"(51.0712089998171, -114.124130999597)"
755 Madeira Drive NE,Calgary jerk festival,Calgary jerk festival our vision is a three tier process. we classify our festival as a multicultural event under the jam rock music festival name. one of our goals is to bring local art and music to the main stage we think Calgary there is a lack of exposure. our small business need help in our community with this festival we help them to showcase their product. As a group we have realized that there seem to be a separation of families and cultures in our community. with our festival we are hoping to bring all cultures together.,Jamrock music festival,Festivals / major events,Event,http://jamrockmusicfestival.com,Aug 24 2019 10:30 a.m. - 11:30 p.m.,August 24 2019 10:30 a.m. - 11:30 p.m.,2019/08/24,-113.94785299958,51.0600239999946,"(51.0600239999946, -113.94785299958)"
1001 Barlow Trail SE,Calgary japanese community association,"Traditional cultural festival including performances, food, market, kids fair etc",Calgary Japanese festival - Omatsuri,Festivals / major events,Event,http://calgaryjapanesefestival.com,Aug 10 2019 10 a.m. - 5 p.m.,August 10 2019 10 a.m. - 5 p.m.,2019/08/10,-114.004248999555,51.0420740001249,"(51.0420740001249, -114.004248999555)"
1600 32 Avenue NE,City of Calgary,"<p>New to Golf? Feeling a little intimidated? Come out for our very popular Beginner Nights and golf in a fun, relaxed atmosphere with others of the same ability. Green fees include: 9 holes, giveaways, game and etiquette tips and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>.</p> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Beginner Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jun 24 2019 5 - 8:30 p.m.<br>Jul 15 2019 5 - 8:30 p.m.<br>Jul 29 2019 5 - 8:30 p.m.<br>Aug 19 2019 5 - 8:30 p.m.,June 24 2019 5 - 8:30 p.m.,2019/06/24,-114.01504500025,51.0830809998059,"(51.0830809998059, -114.01504500025)"
1827 68 Street SE,The Calgary Fireworks Festival Society,"Alberta's Most Explosive Festival, and more! Showcasing Calgary's cultural diversity and artistic excellence all year round.",GlobalFest,Festivals / major events,Event,http://www.globalfest.ca,Aug 15 2019 6 - 11:30 p.m.<br>Aug 17 2019 6 - 11:30 p.m.<br>Aug 20 2019 5 - 10:30 p.m.<br>Aug 22 2019 6 - 11:30 p.m.<br>Aug 24 2019 6 - 11:30 p.m.,August 15 2019 6 - 11:30 p.m.,2019/08/15,-113.940859999572,51.0371399998885,"(51.0371399998885, -113.940859999572)"
800 Macleod Trail SE,,,Event Centere Assessment Committee,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=130001776,Jun 6 2019 9:30 a.m. - 12:30 p.m.,June 6 2019 9:30 a.m. - 12:30 p.m.,2019/06/06,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Special Council Meeting - Wholly Owned Subsidiaries,City Council,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129976395,May 6 2019 9:30 a.m. - 12:30 p.m.<br>Jun 24 2019 9:30 a.m. - 12:30 p.m.,May 6 2019 9:30 a.m. - 12:30 p.m.,2019/05/06,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
750 9 Avenue SE,Rogers Insurance Ltd.,"Charity Run for the L'Arche Community. 1km fun run, 5 miler, Half Marathon.",Rogers Insurance Run for L'Arche,Athletic / sport,Event,http://rogersinsurance.ca,Mar 30 2019 10 a.m. - 2:30 p.m.,March 30 2019 10 a.m. - 2:30 p.m.,2019/03/30,-114.04392199993,51.044586999793,"(51.044586999793, -114.04392199993)"
800 Macleod Trail SE,,,Priorities and Finance Committee,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129964058,Apr 2 2019 9:30 a.m. - 12:30 p.m.<br>May 14 2019 9:30 a.m. - 12:30 p.m.<br>Jun 4 2019 9:30 a.m. - 12:30 p.m.<br>Jul 2 2019 9:30 a.m. - 12:30 p.m.,April 2 2019 9:30 a.m. - 12:30 p.m.,2019/04/02,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
4825 Mount Royal Gate SW,Police Half Marathon Committee,"To promote a healthy way of life, through the exercise of running and walking.","Police Half Marathon,10k,5k walk","Athletic / sport,Recreation and leisure",Event,https://www.trumba.com/calendars/map-feeds?eventid=130950002,Apr 28 2019 8 - 11 a.m.,April 28 2019 8 - 11 a.m.,2019/04/28,-114.130947000053,51.0131680000192,"(51.0131680000192, -114.130947000053)"
330 42 Avenue SW,Be There Races,"A 5, 10 or 15 km run on pathways.",Spring Trio 5/10/15 km,"Athletic / sport,Recreation and leisure",Event,http://www.bethereraces.com,Apr 19 2019 9:30 a.m. - 1 p.m.,April 19 2019 9:30 a.m. - 1 p.m.,2019/04/19,-114.070022999668,51.015646999899,"(51.015646999899, -114.070022999668)"
7305 Crowchild Trail SW,MEC Mountain Equipment Co-op,Sixth annual family-friendly 1km/5km/10km/21.1km/30km road raunning race on Calgary pathways.,MEC Calgary Road Race TWO 2019,"Athletic / sport,Recreation and leisure",Event,https://www.trumba.com/calendars/map-feeds?eventid=130949829,Apr 27 2019 8 a.m. - 1 p.m.,April 27 2019 8 a.m. - 1 p.m.,2019/04/27,-114.122718999786,50.9885010001202,"(50.9885010001202, -114.122718999786)"
222 8 Avenue SE,Calgary Downtown Association,Costumed Parade from near Mewata Stadium to Olympic Plaza allowing Calgarians to dress in their favorite cosplay or spectate as we open the Calgary Comic and Entertainment Expo.,Parade of Wonders,,Event,http://www.downtowncalgary.com,Apr 26 2019 10:30 a.m. - 1:30 p.m.,April 26 2019 10:30 a.m. - 1:30 p.m.,2019/04/26,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
219 18 Avenue SW,Roman Catholic Diocese of Calgary,"This annual event invites people of all ages to join us for a walk in the inner city and stop at 14 stations to reflect on the suffering, passion and death of our Lord, Jesus Christ through scripture readings, songs and meditative silence.",36th Annual Outdoor Way of the Cross,,Event,http://www.wayofthecross.ca,Apr 19 2019 9 a.m. - 12:30 p.m.,April 19 2019 9 a.m. - 12:30 p.m.,2019/04/19,-114.066101000053,51.0367169999972,"(51.0367169999972, -114.066101000053)"
9035 24 Street SW,Calgary Humane Society,A fundraising run/walk for you and your four legged friend.,Dog Jog,Athletic / sport,Event,http://www.calgaryhumane.ca,Jun 1 2019 6 a.m. - 5:30 p.m.,June 1 2019 6 a.m. - 5:30 p.m.,2019/06/01,-114.122512000097,50.974393000176,"(50.974393000176, -114.122512000097)"
5050 Spruce Drive SW,Cystic Fibrosis Canada,Family friendly walk- a- thon with children's activities and a BBQ.,The Walk to Make Cystic Fibrosis History,"Athletic / sport,Recreation and leisure",Event,http://www.cysticfibrosis.ca/walk,May 26 2019 10 a.m. - 2 p.m.,May 26 2019 10 a.m. - 2 p.m.,2019/05/26,-114.157704999742,51.0638760000266,"(51.0638760000266, -114.157704999742)"
8 Avenue between 1 Street SE a,Otafest Film  Cultural Festival Planning Committee,"Otafest is Calgary's Anime Festival! We are a not for profit organization with a mission to celebrate and promote Asian popular arts including anime animation, manga comic books, cosplay costumes! Otafest 2019 will be our 21st festival. We are hoping to use the 100E block of Stephen Avenue to do a night festival as part of Otafest 2019!",Otafest 2019,Festivals / major events,Event,http://www.otafest.com,May 18 2019 5 - 8 p.m.,May 18 2019 5 - 8 p.m.,2019/05/18,-114.063874999932,51.0455520000538,"(51.0455520000538, -114.063874999932)"
1020 2 Avenue NW,YYC FoodTrucks,"Food trucks, music, beer, entertainment.",YYCFT Frenzy,Community event,Event,https://www.trumba.com/calendars/map-feeds?eventid=130959346,May 25 2019 11 a.m. - 7 p.m.,May 25 2019 11 a.m. - 7 p.m.,2019/05/25,-114.083951999782,51.0547809999585,"(51.0547809999585, -114.083951999782)"
11 Sackville Drive SW,Southwood Community Association,"Rhubarb Fest is a community festival that takes place in southwest Calgary the community of Southwood and reaches out to all surrounding community and residents. The event includes: kid bouncers, petting zoo, face paint market place, vendors, City departments, organizations, live music, entertainment for children, beer gardens, BBQ, skate park, and more. The event is free to attend. There are some items that cost money: vendor products, BBQ food, rhubarb pie and beer. The goal of this event is to b street festival feel to communities further south in Calgary. Similar in some degree to things like Lilac Festival or Sunfest but currently on a smaller We bring this form of entertainment to communities outside of the Core don't have Business Revitalization Zones. A family friendly event that is accessible to those that may be challenged financially to attend other for entertainment.",Rhubarb Fest,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=130962911,Jun 1 2019 11 a.m. - 5 p.m.,June 1 2019 11 a.m. - 5 p.m.,2019/06/01,-114.086593099718,50.9567837198652,"(50.9567837198652, -114.086593099718)"
750 9 Avenue SE,Kids Help Phone,"5KM Family Fun Walk in support of the mental health and emotional well-being of young people in Canada. The event also includes a family fun area, entertainment, free participant lunch, giveaways and more prior to the walk taking place.",2019 Walk So Kids Can Talk,"Athletic / sport,Recreation and leisure",Event,https://walksokidscantalk.ca,May 5 2019 7 a.m. - 12:30 p.m.,May 5 2019 7 a.m. - 12:30 p.m.,2019/05/05,-114.04392199993,51.044586999793,"(51.044586999793, -114.04392199993)"
6455 Macleod Trail SW,Canadian Tire Jumpstart Charities,,"Sport Chek Mother Day Run, Walk  Ride",Athletic / sport,Event,https://www.mdrunwalkride.com/,May 12 2019 8:30 a.m. - 1 p.m.,May 12 2019 8:30 a.m. - 1 p.m.,2019/05/12,-114.073433999819,50.9980369999248,"(50.9980369999248, -114.073433999819)"
9035 24 Street SW,Spina Bifida  Hydrocephalus Association of Souther,"The Hope Classic Run, Walk, Wheel is a family-friendly, non-competitive, Canada-wide event. Participants of all abilities walk, wheel, or run through a 1 km, 5 km or 10 km paved course.",Hope Classic,Athletic / sport,Event,https://www.sbhasa.ca/what-is-hope-classic,Jun 1 2019 10 a.m. - 1:30 p.m.,June 1 2019 10 a.m. - 1:30 p.m.,2019/06/01,-114.122512000097,50.974393000176,"(50.974393000176, -114.122512000097)"
5050 Spruce Drive SW,Crohn's and Colitis Canada,"The Gutsy Walk takes place on Sunday, June 2, 2019 at over 60 locations across Canada. Every walk is fun-filled, family-friendly, and non-competitive. Route lengths vary, but are typically five kilometers. Participants can walk any distance they're comfortable with.  This is Canada's largest community fundraiser for Crohn's and colitis. Since 1996, the Gutsy Walk has raised over $38 million for research and patient programs, all thanks to participants, donors, and sponsors who are driven to make a difference.  The Calgary walk will take place at the North Edworthy Park. Lunch will be provided for all registrants. All dogs on leash are allowed to participate. Lots of activities for kids this year including face painting, bean toss and other games.",Gutsy Walk,"Athletic / sport,Recreation and leisure",Event,http://gutsywalk.ca/Home.aspx,Jun 2 2019 8 a.m. - 1 p.m.,June 2 2019 8 a.m. - 1 p.m.,2019/06/02,-114.157704999742,51.0638760000266,"(51.0638760000266, -114.157704999742)"
800 Macleod Trail SE,,,SPC on Planning and Urban Development,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129964074,Apr 3 2019 9:30 a.m. - 12:30 p.m.<br>May 1 2019 9:30 a.m. - 12:30 p.m.<br>Jun 5 2019 9:30 a.m. - 12:30 p.m.<br>Jul 3 2019 9:30 a.m. - 12:30 p.m.,April 3 2019 9:30 a.m. - 12:30 p.m.,2019/04/03,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Calgary Planning Commission,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129964091,Apr 4 2019 1 - 4 p.m.<br>May 2 2019 1 - 4 p.m.<br>May 16 2019 1 - 4 p.m.<br>Jun 6 2019 1 - 4 p.m.<br>Jun 20 2019 1 - 4 p.m.<br>Jul 4 2019 1 - 4 p.m.<br>Jul 18 2019 1 - 4 p.m.<br>Aug 1 2019 1 - 4 p.m.<br>Aug 15 2019 1 - 4 p.m.,April 4 2019 1 - 4 p.m.,2019/04/04,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Event Centre Assessment Committee,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129964084,Apr 4 2019 9:30 a.m. - 12:30 p.m.<br>May 2 2019 9:30 a.m. - 12:30 p.m.<br>Jul 4 2019 9:30 a.m. - 12:30 p.m.,April 4 2019 9:30 a.m. - 12:30 p.m.,2019/04/04,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
2623 56 Street NE,City of Calgary,"<p>This is a great opportunity for children 6-12 years old to be introduced to a new sport – and it’s free!</p> <p>Registration begins in May for this exciting one day event. For more information and to register, see <a href=""www.allsportoneday.ca"">www.allsportoneday.ca</a>.</p> <p><strong>All Sport One Day </strong>is taking place at the following locations:</p> <ul> 	<li>Calgary Soccer Centre</li> 	<li>Glenmore Athletic Park</li> 	<li>Max Bell Centre</li> 	<li>Renfrew Complex</li> 	<li>Southland Leisure Centre</li> 	<li>Village Square Leisure Centre</li> </ul>",All Sport One Day,"Admission specials,Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.allsportoneday.ca,Jun 15 2019 10:15 a.m. - 2:15 p.m.,June 15 2019 10:15 a.m. - 2:15 p.m.,2019/06/15,-113.954561000081,51.0760339999386,"(51.0760339999386, -113.954561000081)"
810 13 Avenue NE,City of Calgary,"<p>This is a great opportunity for children 6-12 years old to be introduced to a new sport – and it’s free!</p> <p>Registration begins in May for this exciting one day event. For more information and to register, see <a href=""www.allsportoneday.ca"">www.allsportoneday.ca</a>.</p> <p><strong>All Sport One Day </strong>is taking place at the following locations:</p> <ul> 	<li>Calgary Soccer Centre</li> 	<li>Glenmore Athletic Park</li> 	<li>Max Bell Centre</li> 	<li>Renfrew Complex</li> 	<li>Southland Leisure Centre</li> 	<li>Village Square Leisure Centre</li> </ul>",All Sport One Day,"Admission specials,Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.allsportoneday.ca,Jun 15 2019 10:15 a.m. - 2:15 p.m.,June 15 2019 10:15 a.m. - 2:15 p.m.,2019/06/15,-114.045486000077,51.0646490001194,"(51.0646490001194, -114.045486000077)"
7000 48 Street SE,City of Calgary,"<p>This is a great opportunity for children 6-12 years old to be introduced to a new sport – and it’s free!</p> <p>Registration begins in May for this exciting one day event. For more information and to register, see <a href=""www.allsportoneday.ca"">www.allsportoneday.ca</a>.</p> <p><strong>All Sport One Day </strong>is taking place at the following locations:</p> <ul> 	<li>Calgary Soccer Centre</li> 	<li>Glenmore Athletic Park</li> 	<li>Max Bell Centre</li> 	<li>Renfrew Complex</li> 	<li>Southland Leisure Centre</li> 	<li>Village Square Leisure Centre</li> </ul>",All Sport One Day,"Admission specials,Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.allsportoneday.ca,Jun 15 2019 10:15 a.m. - 2:15 p.m.,June 15 2019 10:15 a.m. - 2:15 p.m.,2019/06/15,-113.961171999599,50.9924110001301,"(50.9924110001301, -113.961171999599)"
1001 Barlow Trail SE,City of Calgary,"<p>This is a great opportunity for children 6-12 years old to be introduced to a new sport – and it’s free!</p> <p>Registration begins in May for this exciting one day event. For more information and to register, see <a href=""www.allsportoneday.ca"">www.allsportoneday.ca</a>.</p> <p><strong>All Sport One Day </strong>is taking place at the following locations:</p> <ul> 	<li>Calgary Soccer Centre</li> 	<li>Glenmore Athletic Park</li> 	<li>Max Bell Centre</li> 	<li>Renfrew Complex</li> 	<li>Southland Leisure Centre</li> 	<li>Village Square Leisure Centre</li> </ul>",All Sport One Day,"Admission specials,Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.allsportoneday.ca,Jun 15 2019 10:15 a.m. - 2:15 p.m.,June 15 2019 10:15 a.m. - 2:15 p.m.,2019/06/15,-114.004248999555,51.0420740001249,"(51.0420740001249, -114.004248999555)"
